1v1,QTC,LDR,QTC
1v1,QTC,LDR,QTC
1v1,QTC,LDR,QTC
1v1,QTC,LDR,QTC
1v1,QTC,LDR,QTC
1v1,QTC,BOR,QTC
1v1,QTC,BOR,QTC
1v1,QTC,BOR,QTC
1v1,QTC,BOR,QTC
1v1,QTC,BOR,QTC
1v2,QTC,all,QTC
1v2,QTC,all,QTC
1v2,QTC,all,QTC
1v2,QTC,all,QTC
1v2,QTC,all,QTC
1v2,QTC,all,QTC
1v2,QTC,all,QTC
1v2,QTC,all,QTC
1v2,QTC,all,QTC
1v2,QTC,all,QTC
1v1,BOR,LDR,BOR
1v1,BOR,LDR,LDR
1v1,BOR,LDR,LDR
1v1,BOR,LDR,LDR
1v1,BOR,LDR,LDR
1v1,BOR,QTC,QTC
1v2,BOR,all,QTC
1v2,BOR,all,QTC
1v1,LDR,BOR,LDR
1v1,LDR,BOR,LDR
1v1,LDR,BOR,LDR
1v2,LDR,all,BOR
1v1,BOR,LDR,BOR
1v1,BOR,LDR,BOR
1v1,BOR,LDR,BOR
1v1,BOR,LDR,BOR
1v2,BOR,all,BOR
1v2,BOR,all,BOR
1v2,BOR,all,BOR
1v2,BOR,all,QTC
1v2,BOR,all,QTC
1v2,BOR,all,QTC
1v2,BOR,all,QTC
1v2,BOR,all,QTC
1v1,LDR,BOR,LDR
1v2,LDR,all,QTC
1v2,LDR,all,LDR
1v2,LDR,all,QTC
